country,IN,2011,Water Supply Related,0
district,532,2011,Water Supply Related,0
district,146,2011,Water Supply Related,0
district,474,2011,Water Supply Related,0
district,522,2011,Water Supply Related,0
district,283,2011,Water Supply Related,0
district,119,2011,Water Supply Related,0
district,501,2011,Water Supply Related,0
district,598,2011,Water Supply Related,0
district,143,2011,Water Supply Related,0
district,465,2011,Water Supply Related,0
district,175,2011,Water Supply Related,0
district,64,2011,Water Supply Related,0
district,104,2011,Water Supply Related,0
district,70,2011,Water Supply Related,0
district,178,2011,Water Supply Related,0
district,503,2011,Water Supply Related,0
district,480,2011,Water Supply Related,0
district,49,2011,Water Supply Related,0
district,482,2011,Water Supply Related,0
district,553,2011,Water Supply Related,0
district,14,2011,Water Supply Related,0
district,260,2011,Water Supply Related,0
district,384,2011,Water Supply Related,0
district,461,2011,Water Supply Related,0
district,209,2011,Water Supply Related,0
district,616,2011,Water Supply Related,0
district,240,2011,Water Supply Related,0
district,459,2011,Water Supply Related,0
district,162,2011,Water Supply Related,0
district,235,2011,Water Supply Related,0
district,515,2011,Water Supply Related,0
district,191,2011,Water Supply Related,0
district,2,2011,Water Supply Related,0
district,556,2011,Water Supply Related,0
district,63,2011,Water Supply Related,0
district,139,2011,Water Supply Related,0
district,180,2011,Water Supply Related,0
district,324,2011,Water Supply Related,0
district,457,2011,Water Supply Related,0
district,393,2011,Water Supply Related,0
district,377,2011,Water Supply Related,0
district,193,2011,Water Supply Related,0
district,182,2011,Water Supply Related,0
district,469,2011,Water Supply Related,0
district,170,2011,Water Supply Related,0
district,9,2011,Water Supply Related,0
district,572,2011,Water Supply Related,0
district,583,2011,Water Supply Related,0
district,225,2011,Water Supply Related,0
district,339,2011,Water Supply Related,0
district,125,2011,Water Supply Related,0
district,176,2011,Water Supply Related,0
district,8,2011,Water Supply Related,0
district,128,2011,Water Supply Related,0
district,335,2011,Water Supply Related,0
district,150,2011,Water Supply Related,0
district,370,2011,Water Supply Related,0
district,115,2011,Water Supply Related,0
district,54,2011,Water Supply Related,0
district,303,2011,Water Supply Related,0
district,441,2011,Water Supply Related,0
district,414,2011,Water Supply Related,0
district,185,2011,Water Supply Related,0
district,46,2011,Water Supply Related,0
district,391,2011,Water Supply Related,0
district,222,2011,Water Supply Related,0
district,555,2011,Water Supply Related,0
district,565,2011,Water Supply Related,0
district,447,2011,Water Supply Related,0
district,378,2011,Water Supply Related,0
district,224,2011,Water Supply Related,0
district,506,2011,Water Supply Related,0
district,105,2011,Water Supply Related,0
district,488,2011,Water Supply Related,0
district,481,2011,Water Supply Related,0
district,122,2011,Water Supply Related,0
district,420,2011,Water Supply Related,0
district,81,2011,Water Supply Related,0
district,231,2011,Water Supply Related,0
district,444,2011,Water Supply Related,0
district,523,2011,Water Supply Related,0
district,558,2011,Water Supply Related,0
district,417,2011,Water Supply Related,0
district,557,2011,Water Supply Related,0
district,134,2011,Water Supply Related,0
district,101,2011,Water Supply Related,0
district,30,2011,Water Supply Related,0
district,406,2011,Water Supply Related,0
district,334,2011,Water Supply Related,0
district,275,2011,Water Supply Related,0
district,355,2011,Water Supply Related,0
district,319,2011,Water Supply Related,0
district,149,2011,Water Supply Related,0
district,142,2011,Water Supply Related,0
district,500,2011,Water Supply Related,0
district,121,2011,Water Supply Related,0
district,467,2011,Water Supply Related,0
district,232,2011,Water Supply Related,0
district,316,2011,Water Supply Related,0
district,95,2011,Water Supply Related,0
district,578,2011,Water Supply Related,0
district,23,2011,Water Supply Related,0
district,57,2011,Water Supply Related,0
district,65,2011,Water Supply Related,0
district,284,2011,Water Supply Related,0
district,196,2011,Water Supply Related,0
district,280,2011,Water Supply Related,0
district,55,2011,Water Supply Related,0
district,509,2011,Water Supply Related,0
district,253,2011,Water Supply Related,0
district,347,2011,Water Supply Related,0
district,603,2011,Water Supply Related,0
district,425,2011,Water Supply Related,0
district,455,2011,Water Supply Related,0
district,582,2011,Water Supply Related,0
district,570,2011,Water Supply Related,0
district,320,2011,Water Supply Related,0
district,566,2011,Water Supply Related,0
district,171,2011,Water Supply Related,0
district,126,2011,Water Supply Related,0
district,554,2011,Water Supply Related,0
district,274,2011,Water Supply Related,0
district,102,2011,Water Supply Related,0
district,632,2011,Water Supply Related,0
district,617,2011,Water Supply Related,0
district,381,2011,Water Supply Related,0
district,496,2011,Water Supply Related,0
district,416,2011,Water Supply Related,0
district,331,2011,Water Supply Related,0
district,575,2011,Water Supply Related,0
district,495,2011,Water Supply Related,0
district,428,2011,Water Supply Related,0
district,215,2011,Water Supply Related,0
district,327,2011,Water Supply Related,0
district,325,2011,Water Supply Related,0
district,422,2011,Water Supply Related,0
district,109,2011,Water Supply Related,0
district,567,2011,Water Supply Related,0
district,373,2011,Water Supply Related,0
district,60,2011,Water Supply Related,0
district,350,2011,Water Supply Related,0
district,190,2011,Water Supply Related,0
district,437,2011,Water Supply Related,0
district,291,2011,Water Supply Related,0
district,412,2011,Water Supply Related,0
district,354,2011,Water Supply Related,0
district,438,2011,Water Supply Related,0
district,630,2011,Water Supply Related,0
district,562,2011,Water Supply Related,0
district,106,2011,Water Supply Related,0
district,308,2011,Water Supply Related,0
district,383,2011,Water Supply Related,0
district,301,2011,Water Supply Related,0
district,498,2011,Water Supply Related,0
district,257,2011,Water Supply Related,0
district,310,2011,Water Supply Related,0
district,315,2011,Water Supply Related,0
district,265,2011,Water Supply Related,0
district,612,2011,Water Supply Related,0
district,453,2011,Water Supply Related,0
district,494,2011,Water Supply Related,0
district,16,2011,Water Supply Related,0
district,485,2011,Water Supply Related,0
district,362,2011,Water Supply Related,0
district,124,2011,Water Supply Related,0
district,409,2011,Water Supply Related,0
district,93,2011,Water Supply Related,0
district,244,2011,Water Supply Related,0
district,294,2011,Water Supply Related,0
district,545,2011,Water Supply Related,0
district,247,2011,Water Supply Related,0
district,298,2011,Water Supply Related,0
district,251,2011,Water Supply Related,0
district,595,2011,Water Supply Related,0
district,610,2011,Water Supply Related,0
district,201,2011,Water Supply Related,0
district,161,2011,Water Supply Related,0
district,177,2011,Water Supply Related,0
district,88,2011,Water Supply Related,0
district,45,2011,Water Supply Related,0
district,159,2011,Water Supply Related,0
district,78,2011,Water Supply Related,0
district,40,2011,Water Supply Related,0
district,172,2011,Water Supply Related,0
district,147,2011,Water Supply Related,0
district,43,2011,Water Supply Related,0
district,561,2011,Water Supply Related,0
district,508,2011,Water Supply Related,0
district,389,2011,Water Supply Related,0
district,11,2011,Water Supply Related,0
district,473,2011,Water Supply Related,0
district,99,2011,Water Supply Related,0
district,388,2011,Water Supply Related,0
district,346,2011,Water Supply Related,0
district,61,2011,Water Supply Related,0
district,141,2011,Water Supply Related,0
district,236,2011,Water Supply Related,0
district,140,2011,Water Supply Related,0
district,195,2011,Water Supply Related,0
district,349,2011,Water Supply Related,0
district,302,2011,Water Supply Related,0
district,351,2011,Water Supply Related,0
district,313,2011,Water Supply Related,0
district,183,2011,Water Supply Related,0
district,507,2011,Water Supply Related,0
district,217,2011,Water Supply Related,0
district,188,2011,Water Supply Related,0
district,579,2011,Water Supply Related,0
district,366,2011,Water Supply Related,0
district,458,2011,Water Supply Related,0
district,548,2011,Water Supply Related,0
district,35,2011,Water Supply Related,0
district,86,2011,Water Supply Related,0
district,421,2011,Water Supply Related,0
district,318,2011,Water Supply Related,0
district,28,2011,Water Supply Related,0
district,168,2011,Water Supply Related,0
district,100,2011,Water Supply Related,0
district,341,2011,Water Supply Related,0
district,448,2011,Water Supply Related,0
district,155,2011,Water Supply Related,0
district,68,2011,Water Supply Related,0
district,574,2011,Water Supply Related,0
district,564,2011,Water Supply Related,0
district,360,2011,Water Supply Related,0
district,512,2011,Water Supply Related,0
district,80,2011,Water Supply Related,0
district,449,2011,Water Supply Related,0
district,38,2011,Water Supply Related,0
district,338,2011,Water Supply Related,0
district,536,2011,Water Supply Related,0
district,596,2011,Water Supply Related,0
district,278,2011,Water Supply Related,0
district,277,2011,Water Supply Related,0
district,439,2011,Water Supply Related,0
district,451,2011,Water Supply Related,0
district,380,2011,Water Supply Related,0
district,299,2011,Water Supply Related,0
district,110,2011,Water Supply Related,0
district,114,2011,Water Supply Related,0
district,382,2011,Water Supply Related,0
district,37,2011,Water Supply Related,0
district,165,2011,Water Supply Related,0
district,499,2011,Water Supply Related,0
district,514,2011,Water Supply Related,0
district,116,2011,Water Supply Related,0
district,328,2011,Water Supply Related,0
district,21,2011,Water Supply Related,0
district,477,2011,Water Supply Related,0
district,363,2011,Water Supply Related,0
district,238,2011,Water Supply Related,0
district,405,2011,Water Supply Related,0
district,402,2011,Water Supply Related,0
district,194,2011,Water Supply Related,0
district,239,2011,Water Supply Related,0
district,464,2011,Water Supply Related,0
district,83,2011,Water Supply Related,0
district,129,2011,Water Supply Related,0
district,166,2011,Water Supply Related,0
district,371,2011,Water Supply Related,0
district,103,2011,Water Supply Related,0
district,77,2011,Water Supply Related,0
district,113,2011,Water Supply Related,0
district,312,2011,Water Supply Related,0
district,479,2011,Water Supply Related,0
district,137,2011,Water Supply Related,0
district,407,2011,Water Supply Related,0
district,468,2011,Water Supply Related,0
district,233,2011,Water Supply Related,0
district,73,2011,Water Supply Related,0
district,395,2011,Water Supply Related,0
district,321,2011,Water Supply Related,0
district,322,2011,Water Supply Related,0
district,604,2011,Water Supply Related,0
district,390,2011,Water Supply Related,0
district,24,2011,Water Supply Related,0
district,160,2011,Water Supply Related,0
district,629,2011,Water Supply Related,0
district,589,2011,Water Supply Related,0
district,163,2011,Water Supply Related,0
district,164,2011,Water Supply Related,0
district,202,2011,Water Supply Related,0
district,36,2011,Water Supply Related,0
district,637,2011,Water Supply Related,0
district,107,2011,Water Supply Related,0
district,314,2011,Water Supply Related,0
district,4,2011,Water Supply Related,0
district,317,2011,Water Supply Related,0
district,534,2011,Water Supply Related,0
district,74,2011,Water Supply Related,0
district,613,2011,Water Supply Related,0
district,588,2011,Water Supply Related,0
district,7,2011,Water Supply Related,0
district,212,2011,Water Supply Related,0
district,450,2011,Water Supply Related,0
district,174,2011,Water Supply Related,0
district,379,2011,Water Supply Related,0
district,375,2011,Water Supply Related,0
district,223,2011,Water Supply Related,0
district,541,2011,Water Supply Related,0
district,466,2011,Water Supply Related,0
district,440,2011,Water Supply Related,0
district,483,2011,Water Supply Related,0
district,153,2011,Water Supply Related,0
district,386,2011,Water Supply Related,0
district,365,2011,Water Supply Related,0
district,34,2011,Water Supply Related,0
district,269,2011,Water Supply Related,0
district,210,2011,Water Supply Related,0
district,18,2011,Water Supply Related,0
district,329,2011,Water Supply Related,0
district,576,2011,Water Supply Related,0
district,348,2011,Water Supply Related,0
district,270,2011,Water Supply Related,0
district,300,2011,Water Supply Related,0
district,581,2011,Water Supply Related,0
district,282,2011,Water Supply Related,0
district,530,2011,Water Supply Related,0
district,342,2011,Water Supply Related,0
district,600,2011,Water Supply Related,0
district,560,2011,Water Supply Related,0
district,398,2011,Water Supply Related,0
district,404,2011,Water Supply Related,0
district,400,2011,Water Supply Related,0
district,127,2011,Water Supply Related,0
district,597,2011,Water Supply Related,0
district,591,2011,Water Supply Related,0
district,547,2011,Water Supply Related,0
district,631,2011,Water Supply Related,0
district,15,2011,Water Supply Related,0
district,26,2011,Water Supply Related,0
district,1,2011,Water Supply Related,0
district,552,2011,Water Supply Related,0
district,72,2011,Water Supply Related,0
district,256,2011,Water Supply Related,0
district,189,2011,Water Supply Related,0
district,25,2011,Water Supply Related,0
district,307,2011,Water Supply Related,0
district,227,2011,Water Supply Related,0
district,587,2011,Water Supply Related,0
district,167,2011,Water Supply Related,0
district,359,2011,Water Supply Related,0
district,524,2011,Water Supply Related,0
district,287,2011,Water Supply Related,0
district,3,2011,Water Supply Related,0
district,356,2011,Water Supply Related,0
district,259,2011,Water Supply Related,0
district,268,2011,Water Supply Related,0
district,258,2011,Water Supply Related,0
district,255,2011,Water Supply Related,0
district,157,2011,Water Supply Related,0
district,41,2011,Water Supply Related,0
district,286,2011,Water Supply Related,0
district,213,2011,Water Supply Related,0
district,207,2011,Water Supply Related,0
district,623,2011,Water Supply Related,0
district,144,2011,Water Supply Related,0
district,411,2011,Water Supply Related,0
district,538,2011,Water Supply Related,0
district,636,2011,Water Supply Related,0
district,84,2011,Water Supply Related,0
district,471,2011,Water Supply Related,0
district,169,2011,Water Supply Related,0
district,187,2011,Water Supply Related,0
district,148,2011,Water Supply Related,0
district,592,2011,Water Supply Related,0
district,332,2011,Water Supply Related,0
district,399,2011,Water Supply Related,0
district,281,2011,Water Supply Related,0
district,27,2011,Water Supply Related,0
district,454,2011,Water Supply Related,0
district,433,2011,Water Supply Related,0
district,573,2011,Water Supply Related,0
district,47,2011,Water Supply Related,0
district,145,2011,Water Supply Related,0
district,192,2011,Water Supply Related,0
district,376,2011,Water Supply Related,0
district,535,2011,Water Supply Related,0
district,138,2011,Water Supply Related,0
district,87,2011,Water Supply Related,0
district,199,2011,Water Supply Related,0
district,42,2011,Water Supply Related,0
district,262,2011,Water Supply Related,0
district,261,2011,Water Supply Related,0
district,135,2011,Water Supply Related,0
district,419,2011,Water Supply Related,0
district,304,2011,Water Supply Related,0
district,44,2011,Water Supply Related,0
district,519,2011,Air Pollution,57
district,519,2011,Bad Patches/ Potholes on the Roads,18
district,519,2011,Bad Quality of material given to student,81
district,519,2011,Buildings Related,56
district,519,2011,Burst water main lines,24
district,519,2011,Change of user Res to Commercial,56
district,519,2011,Cleaning of Septic Tank,40
district,519,2011,Cleaning of Water Entrance,38
district,519,2011,Cleaning of open SWD,44
district,519,2011,Cleaning/ Removal of silt from nullah/ cross culverts etc.,46
district,519,2011,Cleaning/ Repair of the P.S.C/ W.C Block/ Channels,45
district,519,2011,Collection point not attended properly,45
district,519,2011,Construction of Pathways/ Small roads,40
district,519,2011,Contaminated Water Supply,30
district,519,2011,Delay in transfer case,53
district,519,2011,Digging of roads,39
district,519,2011,Drainage Chokes and Blockages,26
district,519,2011,Employing children (below 14) in the org,10
district,519,2011,Encroachments Releted,63
district,519,2011,Fallen Tree on road,48
district,519,2011,Flooding during Monsoon,42
district,519,2011,Fogging,27
district,519,2011,Found encroachment in the school premise,50
district,519,2011,Garbage lorry not reported for service/ Lorry not covered,32
district,519,2011,Garbage not lifted from House/ Gully,32
district,519,2011,Garbage not lifted from municipal market,58
district,519,2011,Garbage not lifted from road/ authorised collection point,39
district,519,2011,Grant Authority u/ s 449 MMC Act - Repair,55
district,519,2011,Hawkers,34
district,519,2011,Heavy Leakage From Ceiling,58
district,519,2011,Issue of Birth/ Death Certificate,34
district,519,2011,Leakage near meter,12
district,519,2011,Leaks in Water Lines,31
district,519,2011,Lifting of Tree Cutting,33
district,519,2011,MOH Related (MOH),45
district,519,2011,Maintenance of Municipal Property,47
district,519,2011,Major Repairs to Muncipal Property,47
district,519,2011,Minor Repairs to Muncipal Property,51
district,519,2011,Miscellaneous MCGM Issues,80
district,519,2011,Monsoon Shed for Muncipal property,40
district,519,2011,Mosquito Nuisance,28
district,519,2011,Municipal Colony/ Slum,72
district,519,2011,Municipal Land - Road/ Footpath/ SWD,46
district,519,2011,Municipal Plot,53
district,519,2011,No warning/ alarm system,83
district,519,2011,Non attendance of Nuisance Detector,41
district,519,2011,Non attendantance at the Public Toilet/ urinals,34
district,519,2011,Non observance of Holidays,32
district,519,2011,Non receipt of water bills,34
district,519,2011,Non-attendance of nuisance Detector,41
district,519,2011,Non-maintenance of Premises,62
district,519,2011,Nuisance due to cockroaches,42
district,519,2011,"Nuisance due to vagrants on municipal roads, footpaths, gardens",46
district,519,2011,Nuisance due to white ants,25
district,519,2011,Odour (Foul Smell) from Drains,54
district,519,2011,Online Renewal Application,34
district,519,2011,Open beyond permissible hours,48
district,519,2011,Others (Estate),58
district,519,2011,Overflow of overhead tank/ suction tank,30
district,519,2011,Overflowing drains of manholes,40
district,519,2011,Pan/ Gutka hawker near school premises,53
district,519,2011,Pending Transfer cases,56
district,519,2011,Permission for Temporary Monsoon Shed,58
district,519,2011,Permission for Tree Cutting,70
district,519,2011,Pertaining to rent,89
district,519,2011,Pollution due to Chemical Effluents,63
district,519,2011,"Pre-monsoon works halted, terminated",53
district,519,2011,Private Land/ Building/ Society/ Factories,62
district,519,2011,Proper Electric Supply to Mun Property,48
district,519,2011,Protection of Mun Playgrounds/ Gardens,50
district,519,2011,Providing Name Plates to the Road,57
district,519,2011,"Providing damage/ missing gratings, manhole cover over SWD",50
district,519,2011,Providing water by tankers,76
district,519,2011,Providing/ removing/ replacing dustbins,44
district,519,2011,"Providing/ repairing doors, windows of P.S. blocks",28
district,519,2011,Raising of manhole (except in monsoon),45
district,519,2011,Rat Nuisance,31
district,519,2011,Regularisation of Balcony Enclosures,64
district,519,2011,Reinstatement of Trenches,46
district,519,2011,Removal of Debris,39
district,519,2011,Removal of Rank Vegetation on Roads,41
district,519,2011,Removal of dead animals,43
district,519,2011,Removal of water meters,33
district,519,2011,Repair Perm-Tolerated/ Unauthor Structure,51
district,519,2011,Repair to damaged open SWD,51
