country,IN,2011,Water Supply Related,0
district,519,2011,Repairs to pipe sewers/ main sewers,49
district,519,2011,Replacement of Missing/ Damaged Manhole,49
district,519,2011,Resurfacing of Road,36
district,519,2011,Roads Related,31
district,519,2011,Running without license,36
district,519,2011,Shop open on weekly holiday,35
district,519,2011,Shortage of water supply,29
district,519,2011,Signals,21
district,519,2011,Silt to be lifted from road,43
district,519,2011,Slab Fallen down,69
district,519,2011,Speed Breakers,42
district,519,2011,Storage and sale of plastic bags,26
district,519,2011,Street Lighting,54
district,519,2011,Sunken Manhole,21
district,519,2011,Sweeping of roads,36
district,519,2011,Trade without License,51
district,519,2011,Transfer of tenancy,69
district,519,2011,Trimming of Branches,54
district,519,2011,"Unauthorised Alteration of Bldg, Flat etc",57
district,519,2011,Unauthorised Banners/ Advt on Road,31
district,519,2011,Unauthorised Commercial Activity,71
district,519,2011,Unauthorised Construction in Slum,48
district,519,2011,Unauthorised Construction on the Plot/ Reserve plot,57
district,519,2011,Unauthorised Construction/ Development,63
district,519,2011,Unauthorised Extension/ Construction,58
district,519,2011,"Unauthorised Factory, Workshop or Garage",66
district,519,2011,Unauthorised Flour Mill,24
district,519,2011,Unauthorised Food Selling/ Preparation (License),37
district,519,2011,Unauthorised Food Selling/ Preparation (MOH),49
district,519,2011,Unauthorised Materials/ Furniture Found/ kept on Foot path and Road,44
district,519,2011,Unauthorised Repairs/ Renovations in Slum,53
district,519,2011,Unauthorised Stalls on roads/ Footpaths,46
district,519,2011,Unauthorised Storage of Explosives,51
district,519,2011,Unauthorised addition/ alteration in the premises/ Building/ Open Space/ Market,92
district,519,2011,Unauthorised shed on building in premise,86
district,519,2011,Unauthorised tapping of water connections,30
district,519,2011,Unauthorised use of Room,80
district,519,2011,Unauthorised use of water-Change of User,37
district,519,2011,Unauthorised workshop or Garage,64
district,519,2011,Unauthorised/ uncovered water storage tanks,50
district,519,2011,Unhygienic conditions of Toilets/ Public urinals,29
district,519,2011,Use of Booster Pump,24
district,519,2011,Water Supply Related,6
district,519,2011,Water supply during non-supply hours,31
district,519,2011,found staff working more than on muster,46
district,518,2011,Water Supply Related,0
district,226,2011,Water Supply Related,0
district,333,2011,Water Supply Related,0
district,133,2011,Water Supply Related,0
district,216,2011,Water Supply Related,0
district,577,2011,Water Supply Related,0
district,397,2011,Water Supply Related,0
district,336,2011,Water Supply Related,0
district,305,2011,Water Supply Related,0
district,618,2011,Water Supply Related,0
district,112,2011,Water Supply Related,0
district,505,2011,Water Supply Related,0
district,66,2011,Water Supply Related,0
district,229,2011,Water Supply Related,0
district,323,2011,Water Supply Related,0
district,539,2011,Water Supply Related,0
district,609,2011,Water Supply Related,0
district,511,2011,Water Supply Related,0
district,497,2011,Water Supply Related,0
district,415,2011,Water Supply Related,0
district,487,2011,Water Supply Related,0
district,452,2011,Water Supply Related,0
district,516,2011,Water Supply Related,0
district,490,2011,Water Supply Related,0
district,237,2011,Water Supply Related,0
district,385,2011,Water Supply Related,0
district,432,2011,Water Supply Related,0
district,94,2011,Water Supply Related,0
district,638,2011,Water Supply Related,0
district,533,2011,Water Supply Related,0
district,91,2011,Water Supply Related,0
district,639,2011,Water Supply Related,0
district,241,2011,Water Supply Related,0
district,92,2011,Water Supply Related,0
district,585,2011,Water Supply Related,0
district,292,2011,Water Supply Related,0
district,337,2011,Water Supply Related,0
district,90,2011,Water Supply Related,0
district,394,2011,Water Supply Related,0
district,525,2011,Water Supply Related,0
district,353,2011,Water Supply Related,0
district,593,2011,Water Supply Related,0
district,358,2011,Water Supply Related,0
district,118,2011,Water Supply Related,0
district,89,2011,Water Supply Related,0
district,484,2011,Water Supply Related,0
district,69,2011,Water Supply Related,0
district,75,2011,Water Supply Related,0
district,426,2011,Water Supply Related,0
district,248,2011,Water Supply Related,0
district,513,2011,Water Supply Related,0
district,344,2011,Water Supply Related,0
district,203,2011,Water Supply Related,0
district,368,2011,Water Supply Related,0
district,470,2011,Water Supply Related,0
district,599,2011,Water Supply Related,0
district,48,2011,Water Supply Related,0
district,230,2011,Water Supply Related,0
district,615,2011,Water Supply Related,0
district,271,2011,Water Supply Related,0
district,266,2011,Water Supply Related,0
district,151,2011,Water Supply Related,0
district,62,2011,Water Supply Related,0
district,478,2011,Water Supply Related,0
district,549,2011,Water Supply Related,0
district,131,2011,Water Supply Related,0
district,173,2011,Water Supply Related,0
district,635,2011,Water Supply Related,0
district,621,2011,Water Supply Related,0
district,12,2011,Water Supply Related,0
district,5,2011,Water Supply Related,0
district,521,2011,Water Supply Related,0
district,204,2011,Water Supply Related,0
district,345,2011,Water Supply Related,0
district,357,2011,Water Supply Related,0
district,387,2011,Water Supply Related,0
district,211,2011,Water Supply Related,0
district,340,2011,Water Supply Related,0
district,158,2011,Water Supply Related,0
district,559,2011,Water Supply Related,0
district,403,2011,Water Supply Related,0
district,520,2011,Water Supply Related,0
district,410,2011,Water Supply Related,0
district,446,2011,Water Supply Related,0
district,442,2011,Water Supply Related,0
district,476,2011,Water Supply Related,0
district,408,2011,Water Supply Related,0
district,6,2011,Water Supply Related,0
district,123,2011,Water Supply Related,0
district,584,2011,Water Supply Related,0
district,626,2011,Water Supply Related,0
district,17,2011,Water Supply Related,0
district,361,2011,Water Supply Related,0
district,136,2011,Water Supply Related,0
district,364,2011,Water Supply Related,0
district,537,2011,Water Supply Related,0
district,434,2011,Water Supply Related,0
district,528,2011,Water Supply Related,0
district,396,2011,Water Supply Related,0
district,20,2011,Water Supply Related,0
district,430,2011,Water Supply Related,0
district,85,2011,Water Supply Related,0
district,297,2011,Water Supply Related,0
district,82,2011,Water Supply Related,0
district,234,2011,Water Supply Related,0
district,58,2011,Water Supply Related,0
district,51,2011,Water Supply Related,0
district,472,2011,Water Supply Related,0
district,427,2011,Water Supply Related,0
district,132,2011,Water Supply Related,0
district,214,2011,Water Supply Related,0
district,352,2011,Water Supply Related,0
district,52,2011,Water Supply Related,0
district,288,2011,Water Supply Related,0
district,608,2011,Water Supply Related,0
district,221,2011,Water Supply Related,0
district,22,2011,Water Supply Related,0
district,372,2011,Water Supply Related,0
district,531,2011,Water Supply Related,0
district,53,2011,Water Supply Related,0
district,186,2011,Water Supply Related,0
district,198,2011,Water Supply Related,0
district,369,2011,Water Supply Related,0
district,219,2011,Water Supply Related,0
district,527,2011,Water Supply Related,0
district,429,2011,Water Supply Related,0
district,108,2011,Water Supply Related,0
district,445,2011,Water Supply Related,0
district,272,2011,Water Supply Related,0
district,456,2011,Water Supply Related,0
district,285,2011,Water Supply Related,0
district,460,2011,Water Supply Related,0
district,39,2011,Water Supply Related,0
district,152,2011,Water Supply Related,0
district,436,2011,Water Supply Related,0
district,228,2011,Water Supply Related,0
district,205,2011,Water Supply Related,0
district,418,2011,Water Supply Related,0
district,33,2011,Water Supply Related,0
district,568,2011,Water Supply Related,0
district,423,2011,Water Supply Related,0
district,181,2011,Water Supply Related,0
district,13,2011,Water Supply Related,0
district,184,2011,Water Supply Related,0
district,462,2011,Water Supply Related,0
district,111,2011,Water Supply Related,0
district,367,2011,Water Supply Related,0
district,529,2011,Water Supply Related,0
district,463,2011,Water Supply Related,0
district,32,2011,Water Supply Related,0
district,117,2011,Water Supply Related,0
district,79,2011,Water Supply Related,0
district,206,2011,Water Supply Related,0
district,154,2011,Water Supply Related,0
district,622,2011,Water Supply Related,0
district,311,2011,Water Supply Related,0
district,218,2011,Water Supply Related,0
district,31,2011,Water Supply Related,0
district,526,2011,Water Supply Related,0
district,200,2011,Water Supply Related,0
district,76,2011,Water Supply Related,0
district,306,2011,Water Supply Related,0
district,98,2011,Water Supply Related,0
district,640,2011,Water Supply Related,0
district,243,2011,Water Supply Related,0
district,295,2011,Water Supply Related,0
district,586,2011,Water Supply Related,0
district,290,2011,Water Supply Related,0
district,343,2011,Water Supply Related,0
district,97,2011,Water Supply Related,0
district,550,2011,Water Supply Related,0
district,542,2011,Water Supply Related,0
district,10,2011,Water Supply Related,0
district,392,2011,Water Supply Related,0
district,179,2011,Water Supply Related,0
district,374,2011,Water Supply Related,0
district,208,2011,Water Supply Related,0
district,492,2011,Water Supply Related,0
district,475,2011,Water Supply Related,0
district,401,2011,Water Supply Related,0
district,273,2011,Water Supply Related,0
district,493,2011,Water Supply Related,0
district,50,2011,Water Supply Related,0
district,245,2011,Water Supply Related,0
district,59,2011,Water Supply Related,0
district,517,2011,Water Supply Related,0
district,620,2011,Water Supply Related,0
district,489,2011,Water Supply Related,0
district,611,2011,Water Supply Related,0
district,624,2011,Water Supply Related,0
district,602,2011,Water Supply Related,0
district,601,2011,Water Supply Related,0
district,619,2011,Water Supply Related,0
district,627,2011,Water Supply Related,0
district,276,2011,Water Supply Related,0
district,594,2011,Water Supply Related,0
district,424,2011,Water Supply Related,0
district,309,2011,Water Supply Related,0
district,254,2011,Water Supply Related,0
district,614,2011,Water Supply Related,0
district,628,2011,Water Supply Related,0
district,633,2011,Water Supply Related,0
district,606,2011,Water Supply Related,0
district,120,2011,Water Supply Related,0
district,267,2011,Water Supply Related,0
district,571,2011,Water Supply Related,0
district,130,2011,Water Supply Related,0
district,326,2011,Water Supply Related,0
district,67,2011,Water Supply Related,0
district,19,2011,Water Supply Related,0
district,569,2011,Water Supply Related,0
district,435,2011,Water Supply Related,0
district,279,2011,Water Supply Related,0
district,431,2011,Water Supply Related,0
district,29,2011,Water Supply Related,0
district,156,2011,Water Supply Related,0
district,252,2011,Water Supply Related,0
district,249,2011,Water Supply Related,0
district,413,2011,Water Supply Related,0
district,330,2011,Water Supply Related,0
district,563,2011,Water Supply Related,0
district,56,2011,Water Supply Related,0
district,486,2011,Water Supply Related,0
district,220,2011,Water Supply Related,0
district,491,2011,Water Supply Related,0
district,197,2011,Water Supply Related,0
district,605,2011,Water Supply Related,0
district,443,2011,Water Supply Related,0
district,607,2011,Water Supply Related,0
district,625,2011,Water Supply Related,0
district,544,2011,Water Supply Related,0
district,543,2011,Water Supply Related,0
district,540,2011,Water Supply Related,0
district,504,2011,Water Supply Related,0
district,502,2011,Water Supply Related,0
district,590,2011,Water Supply Related,0
district,96,2011,Water Supply Related,0
district,242,2011,Water Supply Related,0
district,293,2011,Water Supply Related,0
district,546,2011,Water Supply Related,0
district,246,2011,Water Supply Related,0
district,296,2011,Water Supply Related,0
district,250,2011,Water Supply Related,0
district,289,2011,Water Supply Related,0
district,264,2011,Water Supply Related,0
district,551,2011,Water Supply Related,0
district,580,2011,Water Supply Related,0
district,71,2011,Water Supply Related,0
district,634,2011,Water Supply Related,0
district,510,2011,Water Supply Related,0
district,263,2011,Water Supply Related,0
state,35,2011,Water Supply Related,0
state,28,2011,Water Supply Related,0
state,12,2011,Water Supply Related,0
state,18,2011,Water Supply Related,0
state,10,2011,Water Supply Related,0
state,4,2011,Water Supply Related,0
state,22,2011,Water Supply Related,0
state,26,2011,Water Supply Related,0
state,25,2011,Water Supply Related,0
state,30,2011,Water Supply Related,0
state,24,2011,Water Supply Related,0
state,6,2011,Water Supply Related,0
state,2,2011,Water Supply Related,0
state,1,2011,Water Supply Related,0
state,20,2011,Water Supply Related,0
state,29,2011,Water Supply Related,0
state,32,2011,Water Supply Related,0
state,31,2011,Water Supply Related,0
state,23,2011,Water Supply Related,0
state,27,2011,Air Pollution,57
state,27,2011,Bad Patches/ Potholes on the Roads,18
state,27,2011,Bad Quality of material given to student,81
state,27,2011,Buildings Related,56
state,27,2011,Burst water main lines,24
state,27,2011,Change of user Res to Commercial,56
state,27,2011,Cleaning of Septic Tank,40
state,27,2011,Cleaning of Water Entrance,38
state,27,2011,Cleaning of open SWD,44
state,27,2011,Cleaning/ Removal of silt from nullah/ cross culverts etc.,46
state,27,2011,Cleaning/ Repair of the P.S.C/ W.C Block/ Channels,45
state,27,2011,Collection point not attended properly,45
state,27,2011,Construction of Pathways/ Small roads,40
state,27,2011,Contaminated Water Supply,30
state,27,2011,Delay in transfer case,53
state,27,2011,Digging of roads,39
state,27,2011,Drainage Chokes and Blockages,26
state,27,2011,Employing children (below 14) in the org,10
state,27,2011,Encroachments Releted,63
state,27,2011,Fallen Tree on road,48
state,27,2011,Flooding during Monsoon,42
state,27,2011,Fogging,27
state,27,2011,Found encroachment in the school premise,50
state,27,2011,Garbage lorry not reported for service/ Lorry not covered,32
state,27,2011,Garbage not lifted from House/ Gully,32
state,27,2011,Garbage not lifted from municipal market,58
state,27,2011,Garbage not lifted from road/ authorised collection point,39
state,27,2011,Grant Authority u/ s 449 MMC Act - Repair,55
state,27,2011,Hawkers,34
state,27,2011,Heavy Leakage From Ceiling,58
state,27,2011,Issue of Birth/ Death Certificate,34
state,27,2011,Leakage near meter,12
state,27,2011,Leaks in Water Lines,31
state,27,2011,Lifting of Tree Cutting,33
state,27,2011,MOH Related (MOH),45
state,27,2011,Maintenance of Municipal Property,47
state,27,2011,Major Repairs to Muncipal Property,47
state,27,2011,Minor Repairs to Muncipal Property,51
state,27,2011,Miscellaneous MCGM Issues,80
state,27,2011,Monsoon Shed for Muncipal property,40
state,27,2011,Mosquito Nuisance,28
state,27,2011,Municipal Colony/ Slum,72
state,27,2011,Municipal Land - Road/ Footpath/ SWD,46
state,27,2011,Municipal Plot,53
state,27,2011,No warning/ alarm system,83
state,27,2011,Non attendance of Nuisance Detector,41
state,27,2011,Non attendantance at the Public Toilet/ urinals,34
state,27,2011,Non observance of Holidays,32
state,27,2011,Non receipt of water bills,34
state,27,2011,Non-attendance of nuisance Detector,41
state,27,2011,Non-maintenance of Premises,62
state,27,2011,Nuisance due to cockroaches,42
state,27,2011,"Nuisance due to vagrants on municipal roads, footpaths, gardens",46
state,27,2011,Nuisance due to white ants,25
state,27,2011,Odour (Foul Smell) from Drains,54
state,27,2011,Online Renewal Application,34
state,27,2011,Open beyond permissible hours,48
state,27,2011,Others (Estate),58
state,27,2011,Overflow of overhead tank/ suction tank,30
state,27,2011,Overflowing drains of manholes,40
state,27,2011,Pan/ Gutka hawker near school premises,53
state,27,2011,Pending Transfer cases,56
state,27,2011,Permission for Temporary Monsoon Shed,58
state,27,2011,Permission for Tree Cutting,70
state,27,2011,Pertaining to rent,89
state,27,2011,Pollution due to Chemical Effluents,63
state,27,2011,"Pre-monsoon works halted, terminated",53
state,27,2011,Private Land/ Building/ Society/ Factories,62
state,27,2011,Proper Electric Supply to Mun Property,48
state,27,2011,Protection of Mun Playgrounds/ Gardens,50
state,27,2011,Providing Name Plates to the Road,57
state,27,2011,"Providing damage/ missing gratings, manhole cover over SWD",50
state,27,2011,Providing water by tankers,76
state,27,2011,Providing/ removing/ replacing dustbins,44
state,27,2011,"Providing/ repairing doors, windows of P.S. blocks",28
state,27,2011,Raising of manhole (except in monsoon),45
state,27,2011,Rat Nuisance,31
state,27,2011,Regularisation of Balcony Enclosures,64
state,27,2011,Reinstatement of Trenches,46
state,27,2011,Removal of Debris,39
state,27,2011,Removal of Rank Vegetation on Roads,41
state,27,2011,Removal of dead animals,43
state,27,2011,Removal of water meters,33
state,27,2011,Repair Perm-Tolerated/ Unauthor Structure,51
state,27,2011,Repair to damaged open SWD,51
state,27,2011,Repairs to pipe sewers/ main sewers,49
state,27,2011,Replacement of Missing/ Damaged Manhole,49
state,27,2011,Resurfacing of Road,36
state,27,2011,Roads Related,31
state,27,2011,Running without license,36
state,27,2011,Shop open on weekly holiday,35
state,27,2011,Shortage of water supply,29
state,27,2011,Signals,21
state,27,2011,Silt to be lifted from road,43
state,27,2011,Slab Fallen down,69
state,27,2011,Speed Breakers,42
state,27,2011,Storage and sale of plastic bags,26
state,27,2011,Street Lighting,54
state,27,2011,Sunken Manhole,21
state,27,2011,Sweeping of roads,36
state,27,2011,Trade without License,51
state,27,2011,Transfer of tenancy,69
state,27,2011,Trimming of Branches,54
state,27,2011,"Unauthorised Alteration of Bldg, Flat etc",57
state,27,2011,Unauthorised Banners/ Advt on Road,31
state,27,2011,Unauthorised Commercial Activity,71
state,27,2011,Unauthorised Construction in Slum,48
state,27,2011,Unauthorised Construction on the Plot/ Reserve plot,57
state,27,2011,Unauthorised Construction/ Development,63
state,27,2011,Unauthorised Extension/ Construction,58
state,27,2011,"Unauthorised Factory, Workshop or Garage",66
state,27,2011,Unauthorised Flour Mill,24
state,27,2011,Unauthorised Food Selling/ Preparation (License),37
state,27,2011,Unauthorised Food Selling/ Preparation (MOH),49
state,27,2011,Unauthorised Materials/ Furniture Found/ kept on Foot path and Road,44
state,27,2011,Unauthorised Repairs/ Renovations in Slum,53
state,27,2011,Unauthorised Stalls on roads/ Footpaths,46
state,27,2011,Unauthorised Storage of Explosives,51
state,27,2011,Unauthorised addition/ alteration in the premises/ Building/ Open Space/ Market,92
state,27,2011,Unauthorised shed on building in premise,86
state,27,2011,Unauthorised tapping of water connections,30
state,27,2011,Unauthorised use of Room,80
state,27,2011,Unauthorised use of water-Change of User,37
state,27,2011,Unauthorised workshop or Garage,64
state,27,2011,Unauthorised/ uncovered water storage tanks,50
state,27,2011,Unhygienic conditions of Toilets/ Public urinals,29
state,27,2011,Use of Booster Pump,24
state,27,2011,Water Supply Related,6
state,27,2011,Water supply during non-supply hours,31
state,27,2011,found staff working more than on muster,46
state,14,2011,Water Supply Related,0
state,17,2011,Water Supply Related,0
state,15,2011,Water Supply Related,0
state,13,2011,Water Supply Related,0
state,7,2011,Water Supply Related,0
state,21,2011,Water Supply Related,0
state,34,2011,Water Supply Related,0
state,3,2011,Water Supply Related,0
state,8,2011,Water Supply Related,0
state,11,2011,Water Supply Related,0
state,33,2011,Water Supply Related,0
state,36,2011,Water Supply Related,0
state,16,2011,Water Supply Related,0
state,9,2011,Water Supply Related,0
state,5,2011,Water Supply Related,0
state,19,2011,Water Supply Related,0
