country,IN,2011,2014,4966
country,IN,2011,2015,5250
country,IN,2011,2016,4439
district,532,2011,2014,0
district,532,2011,2015,0
district,532,2011,2016,0
district,146,2011,2014,0
district,146,2011,2015,0
district,146,2011,2016,0
district,474,2011,2014,0
district,474,2011,2015,0
district,474,2011,2016,0
district,522,2011,2014,0
district,522,2011,2015,0
district,522,2011,2016,0
district,283,2011,2014,0
district,283,2011,2015,0
district,283,2011,2016,0
district,119,2011,2014,0
district,119,2011,2015,0
district,119,2011,2016,0
district,501,2011,2014,0
district,501,2011,2015,0
district,501,2011,2016,0
district,598,2011,2014,0
district,598,2011,2015,0
district,598,2011,2016,0
district,143,2011,2014,0
district,143,2011,2015,0
district,143,2011,2016,0
district,465,2011,2014,0
district,465,2011,2015,0
district,465,2011,2016,0
district,175,2011,2014,0
district,175,2011,2015,0
district,175,2011,2016,0
district,64,2011,2014,0
district,64,2011,2015,0
district,64,2011,2016,0
district,104,2011,2014,0
district,104,2011,2015,0
district,104,2011,2016,0
district,70,2011,2014,0
district,70,2011,2015,0
district,70,2011,2016,0
district,178,2011,2014,0
district,178,2011,2015,0
district,178,2011,2016,0
district,503,2011,2014,0
district,503,2011,2015,0
district,503,2011,2016,0
district,480,2011,2014,0
district,480,2011,2015,0
district,480,2011,2016,0
district,49,2011,2014,0
district,49,2011,2015,0
district,49,2011,2016,0
district,482,2011,2014,0
district,482,2011,2015,0
district,482,2011,2016,0
district,553,2011,2014,0
district,553,2011,2015,0
district,553,2011,2016,0
district,14,2011,2014,0
district,14,2011,2015,0
district,14,2011,2016,0
district,260,2011,2014,0
district,260,2011,2015,0
district,260,2011,2016,0
district,384,2011,2014,0
district,384,2011,2015,0
district,384,2011,2016,0
district,461,2011,2014,0
district,461,2011,2015,0
district,461,2011,2016,0
district,209,2011,2014,0
district,209,2011,2015,0
district,209,2011,2016,0
district,616,2011,2014,0
district,616,2011,2015,0
district,616,2011,2016,0
district,240,2011,2014,0
district,240,2011,2015,0
district,240,2011,2016,0
district,459,2011,2014,0
district,459,2011,2015,0
district,459,2011,2016,0
district,162,2011,2014,0
district,162,2011,2015,0
district,162,2011,2016,0
district,235,2011,2014,0
district,515,2011,2014,0
district,235,2011,2015,0
district,515,2011,2015,0
district,235,2011,2016,0
district,515,2011,2016,0
district,191,2011,2014,0
district,191,2011,2015,0
district,191,2011,2016,0
district,2,2011,2014,0
district,2,2011,2015,0
district,2,2011,2016,0
district,556,2011,2014,0
district,556,2011,2015,0
district,556,2011,2016,0
district,63,2011,2014,0
district,63,2011,2015,0
district,63,2011,2016,0
district,139,2011,2014,0
district,139,2011,2015,0
district,139,2011,2016,0
district,180,2011,2014,0
district,180,2011,2015,0
district,180,2011,2016,0
district,324,2011,2014,0
district,324,2011,2015,0
district,324,2011,2016,0
district,457,2011,2014,0
district,457,2011,2015,0
district,457,2011,2016,0
district,393,2011,2014,0
district,393,2011,2015,0
district,393,2011,2016,0
district,377,2011,2014,0
district,377,2011,2015,0
district,377,2011,2016,0
district,193,2011,2014,0
district,193,2011,2015,0
district,193,2011,2016,0
district,182,2011,2014,0
district,182,2011,2015,0
district,182,2011,2016,0
district,469,2011,2014,0
district,469,2011,2015,0
district,469,2011,2016,0
district,170,2011,2014,0
district,170,2011,2015,0
district,170,2011,2016,0
district,9,2011,2014,0
district,9,2011,2015,0
district,9,2011,2016,0
district,572,2011,2014,0
district,572,2011,2015,0
district,572,2011,2016,0
district,583,2011,2014,0
district,583,2011,2015,0
district,583,2011,2016,0
district,225,2011,2014,0
district,225,2011,2015,0
district,225,2011,2016,0
district,339,2011,2014,0
district,339,2011,2015,0
district,339,2011,2016,0
district,125,2011,2014,0
district,125,2011,2015,0
district,125,2011,2016,0
district,176,2011,2014,0
district,176,2011,2015,0
district,176,2011,2016,0
district,8,2011,2014,0
district,8,2011,2015,0
district,8,2011,2016,0
district,128,2011,2014,0
district,128,2011,2015,0
district,128,2011,2016,0
district,335,2011,2014,0
district,335,2011,2015,0
district,335,2011,2016,0
district,150,2011,2014,0
district,150,2011,2015,0
district,150,2011,2016,0
district,370,2011,2014,0
district,370,2011,2015,0
district,370,2011,2016,0
district,115,2011,2014,0
district,115,2011,2015,0
district,115,2011,2016,0
district,54,2011,2014,0
district,54,2011,2015,0
district,54,2011,2016,0
district,303,2011,2014,0
district,303,2011,2015,0
district,303,2011,2016,0
district,441,2011,2014,0
district,441,2011,2015,0
district,441,2011,2016,0
district,414,2011,2014,0
district,414,2011,2015,0
district,414,2011,2016,0
district,185,2011,2014,0
district,185,2011,2015,0
district,185,2011,2016,0
district,46,2011,2014,0
district,46,2011,2015,0
district,46,2011,2016,0
district,391,2011,2014,0
district,391,2011,2015,0
district,391,2011,2016,0
district,222,2011,2014,0
district,222,2011,2015,0
district,222,2011,2016,0
district,555,2011,2014,0
district,555,2011,2015,0
district,555,2011,2016,0
district,565,2011,2014,0
district,565,2011,2015,0
district,565,2011,2016,0
district,447,2011,2014,0
district,447,2011,2015,0
district,447,2011,2016,0
district,378,2011,2014,0
district,378,2011,2015,0
district,378,2011,2016,0
district,224,2011,2014,0
district,224,2011,2015,0
district,224,2011,2016,0
district,506,2011,2014,0
district,506,2011,2015,0
district,506,2011,2016,0
district,105,2011,2014,0
district,105,2011,2015,0
district,105,2011,2016,0
district,488,2011,2014,0
district,488,2011,2015,0
district,488,2011,2016,0
district,481,2011,2014,0
district,481,2011,2015,0
district,481,2011,2016,0
district,122,2011,2014,0
district,122,2011,2015,0
district,122,2011,2016,0
district,420,2011,2014,0
district,420,2011,2015,0
district,420,2011,2016,0
district,81,2011,2014,0
district,81,2011,2015,0
district,81,2011,2016,0
district,231,2011,2014,0
district,231,2011,2015,0
district,231,2011,2016,0
district,444,2011,2014,0
district,444,2011,2015,0
district,444,2011,2016,0
district,523,2011,2014,0
district,523,2011,2015,0
district,523,2011,2016,0
district,558,2011,2014,0
district,558,2011,2015,0
district,558,2011,2016,0
district,417,2011,2014,0
district,557,2011,2014,0
district,417,2011,2015,0
district,557,2011,2015,0
district,417,2011,2016,0
district,557,2011,2016,0
district,134,2011,2014,0
district,134,2011,2015,0
district,134,2011,2016,0
district,101,2011,2014,0
district,101,2011,2015,0
district,101,2011,2016,0
district,30,2011,2014,0
district,406,2011,2014,0
district,30,2011,2015,0
district,406,2011,2015,0
district,30,2011,2016,0
district,406,2011,2016,0
district,334,2011,2014,0
district,334,2011,2015,0
district,334,2011,2016,0
district,275,2011,2014,0
district,275,2011,2015,0
district,275,2011,2016,0
district,355,2011,2014,0
district,355,2011,2015,0
district,355,2011,2016,0
district,319,2011,2014,0
district,319,2011,2015,0
district,319,2011,2016,0
district,149,2011,2014,0
district,149,2011,2015,0
district,149,2011,2016,0
district,142,2011,2014,0
district,142,2011,2015,0
district,142,2011,2016,0
district,500,2011,2014,0
district,500,2011,2015,0
district,500,2011,2016,0
district,121,2011,2014,0
district,121,2011,2015,0
district,121,2011,2016,0
district,467,2011,2014,0
district,467,2011,2015,0
district,467,2011,2016,0
district,232,2011,2014,0
district,232,2011,2015,0
district,232,2011,2016,0
district,316,2011,2014,0
district,316,2011,2015,0
district,316,2011,2016,0
district,95,2011,2014,0
district,95,2011,2015,0
district,95,2011,2016,0
district,578,2011,2014,0
district,578,2011,2015,0
district,578,2011,2016,0
district,23,2011,2014,0
district,23,2011,2015,0
district,23,2011,2016,0
district,57,2011,2014,0
district,57,2011,2015,0
district,57,2011,2016,0
district,65,2011,2014,0
district,65,2011,2015,0
district,65,2011,2016,0
district,284,2011,2014,0
district,284,2011,2015,0
district,284,2011,2016,0
district,196,2011,2014,0
district,196,2011,2015,0
district,196,2011,2016,0
district,280,2011,2014,0
district,280,2011,2015,0
district,280,2011,2016,0
district,55,2011,2014,0
district,55,2011,2015,0
district,55,2011,2016,0
district,509,2011,2014,0
district,509,2011,2015,0
district,509,2011,2016,0
district,253,2011,2014,0
district,253,2011,2015,0
district,253,2011,2016,0
district,347,2011,2014,0
district,347,2011,2015,0
district,347,2011,2016,0
district,603,2011,2014,0
district,603,2011,2015,0
district,603,2011,2016,0
district,425,2011,2014,0
district,425,2011,2015,0
district,425,2011,2016,0
district,455,2011,2014,0
district,455,2011,2015,0
district,455,2011,2016,0
district,582,2011,2014,0
district,582,2011,2015,0
district,582,2011,2016,0
district,570,2011,2014,0
district,570,2011,2015,0
district,570,2011,2016,0
district,320,2011,2014,0
district,320,2011,2015,0
district,320,2011,2016,0
district,566,2011,2014,0
district,566,2011,2015,0
district,566,2011,2016,0
district,171,2011,2014,0
district,171,2011,2015,0
district,171,2011,2016,0
district,126,2011,2014,0
district,126,2011,2015,0
district,126,2011,2016,0
district,554,2011,2014,0
district,554,2011,2015,0
district,554,2011,2016,0
district,274,2011,2014,0
district,274,2011,2015,0
district,274,2011,2016,0
district,102,2011,2014,0
district,102,2011,2015,0
district,102,2011,2016,0
district,632,2011,2014,0
district,632,2011,2015,0
district,632,2011,2016,0
district,617,2011,2014,0
district,617,2011,2015,0
district,617,2011,2016,0
district,381,2011,2014,0
district,381,2011,2015,0
district,381,2011,2016,0
district,496,2011,2014,0
district,496,2011,2015,0
district,496,2011,2016,0
district,416,2011,2014,0
district,416,2011,2015,0
district,416,2011,2016,0
district,331,2011,2014,0
district,331,2011,2015,0
district,331,2011,2016,0
district,575,2011,2014,0
district,575,2011,2015,0
district,575,2011,2016,0
district,495,2011,2014,0
district,495,2011,2015,0
district,495,2011,2016,0
district,428,2011,2014,0
district,428,2011,2015,0
district,428,2011,2016,0
district,215,2011,2014,0
district,215,2011,2015,0
district,215,2011,2016,0
district,327,2011,2014,0
district,327,2011,2015,0
district,327,2011,2016,0
district,325,2011,2014,0
district,325,2011,2015,0
district,325,2011,2016,0
district,422,2011,2014,0
district,422,2011,2015,0
district,422,2011,2016,0
district,109,2011,2014,0
district,109,2011,2015,0
district,109,2011,2016,0
district,567,2011,2014,0
district,567,2011,2015,0
district,567,2011,2016,0
district,373,2011,2014,0
district,373,2011,2015,0
district,373,2011,2016,0
district,60,2011,2014,0
district,60,2011,2015,0
district,60,2011,2016,0
district,350,2011,2014,0
district,350,2011,2015,0
district,350,2011,2016,0
district,190,2011,2014,0
district,190,2011,2015,0
district,190,2011,2016,0
district,437,2011,2014,0
district,437,2011,2015,0
district,437,2011,2016,0
district,291,2011,2014,0
district,291,2011,2015,0
district,291,2011,2016,0
district,412,2011,2014,0
district,412,2011,2015,0
district,412,2011,2016,0
district,354,2011,2014,0
district,354,2011,2015,0
district,354,2011,2016,0
district,438,2011,2014,0
district,438,2011,2015,0
district,438,2011,2016,0
district,630,2011,2014,0
district,630,2011,2015,0
district,630,2011,2016,0
district,562,2011,2014,0
district,562,2011,2015,0
district,562,2011,2016,0
district,106,2011,2014,0
district,106,2011,2015,0
district,106,2011,2016,0
district,308,2011,2014,0
district,308,2011,2015,0
district,308,2011,2016,0
district,383,2011,2014,0
district,383,2011,2015,0
district,383,2011,2016,0
district,301,2011,2014,0
district,301,2011,2015,0
district,301,2011,2016,0
district,498,2011,2014,0
district,498,2011,2015,0
district,498,2011,2016,0
district,257,2011,2014,0
district,257,2011,2015,0
district,257,2011,2016,0
district,310,2011,2014,0
district,310,2011,2015,0
district,310,2011,2016,0
district,315,2011,2014,0
district,315,2011,2015,0
district,315,2011,2016,0
district,265,2011,2014,0
district,265,2011,2015,0
district,265,2011,2016,0
district,612,2011,2014,0
district,612,2011,2015,0
district,612,2011,2016,0
district,453,2011,2014,0
district,453,2011,2015,0
district,453,2011,2016,0
district,494,2011,2014,0
district,494,2011,2015,0
district,494,2011,2016,0
district,16,2011,2014,0
district,16,2011,2015,0
district,16,2011,2016,0
district,485,2011,2014,0
district,485,2011,2015,0
district,485,2011,2016,0
district,362,2011,2014,0
district,362,2011,2015,0
district,362,2011,2016,0
district,124,2011,2014,0
district,124,2011,2015,0
district,124,2011,2016,0
district,409,2011,2014,0
district,409,2011,2015,0
district,409,2011,2016,0
district,93,2011,2014,0
district,93,2011,2015,0
district,93,2011,2016,0
district,244,2011,2014,0
district,244,2011,2015,0
district,244,2011,2016,0
district,294,2011,2014,0
district,294,2011,2015,0
district,294,2011,2016,0
district,545,2011,2014,0
district,545,2011,2015,0
district,545,2011,2016,0
district,247,2011,2014,0
district,247,2011,2015,0
district,247,2011,2016,0
district,298,2011,2014,0
district,298,2011,2015,0
district,298,2011,2016,0
district,251,2011,2014,0
district,251,2011,2015,0
district,251,2011,2016,0
district,595,2011,2014,0
district,595,2011,2015,0
district,595,2011,2016,0
district,610,2011,2014,0
district,610,2011,2015,0
district,610,2011,2016,0
district,201,2011,2014,0
district,201,2011,2015,0
district,201,2011,2016,0
district,161,2011,2014,0
district,161,2011,2015,0
district,161,2011,2016,0
district,177,2011,2014,0
district,177,2011,2015,0
district,177,2011,2016,0
district,88,2011,2014,0
district,88,2011,2015,0
district,88,2011,2016,0
district,45,2011,2014,0
district,45,2011,2015,0
district,45,2011,2016,0
district,159,2011,2014,0
district,159,2011,2015,0
district,159,2011,2016,0
district,78,2011,2014,0
district,78,2011,2015,0
district,78,2011,2016,0
district,40,2011,2014,0
district,40,2011,2015,0
district,40,2011,2016,0
district,172,2011,2014,0
district,172,2011,2015,0
district,172,2011,2016,0
district,147,2011,2014,0
district,147,2011,2015,0
district,147,2011,2016,0
district,43,2011,2014,0
district,43,2011,2015,0
district,43,2011,2016,0
district,561,2011,2014,0
district,561,2011,2015,0
district,561,2011,2016,0
district,508,2011,2014,0
district,508,2011,2015,0
district,508,2011,2016,0
district,389,2011,2014,0
district,389,2011,2015,0
district,389,2011,2016,0
district,11,2011,2014,0
district,11,2011,2015,0
district,11,2011,2016,0
district,473,2011,2014,0
district,473,2011,2015,0
district,473,2011,2016,0
district,99,2011,2014,0
district,99,2011,2015,0
district,99,2011,2016,0
district,388,2011,2014,0
district,388,2011,2015,0
district,388,2011,2016,0
district,346,2011,2014,0
district,346,2011,2015,0
district,346,2011,2016,0
district,61,2011,2014,0
district,61,2011,2015,0
district,61,2011,2016,0
district,141,2011,2014,0
district,141,2011,2015,0
district,141,2011,2016,0
district,236,2011,2014,0
district,236,2011,2015,0
district,236,2011,2016,0
district,140,2011,2014,0
district,140,2011,2015,0
district,140,2011,2016,0
district,195,2011,2014,0
district,195,2011,2015,0
district,195,2011,2016,0
district,349,2011,2014,0
district,349,2011,2015,0
district,349,2011,2016,0
district,302,2011,2014,0
district,302,2011,2015,0
district,302,2011,2016,0
district,351,2011,2014,0
district,351,2011,2015,0
district,351,2011,2016,0
district,313,2011,2014,0
district,313,2011,2015,0
district,313,2011,2016,0
district,183,2011,2014,0
district,183,2011,2015,0
district,183,2011,2016,0
district,507,2011,2014,0
district,507,2011,2015,0
district,507,2011,2016,0
district,217,2011,2014,0
district,217,2011,2015,0
district,217,2011,2016,0
district,188,2011,2014,0
district,188,2011,2015,0
district,188,2011,2016,0
district,579,2011,2014,0
district,579,2011,2015,0
district,579,2011,2016,0
district,366,2011,2014,0
district,366,2011,2015,0
district,366,2011,2016,0
district,458,2011,2014,0
district,458,2011,2015,0
district,458,2011,2016,0
district,548,2011,2014,0
district,548,2011,2015,0
district,548,2011,2016,0
district,35,2011,2014,0
district,35,2011,2015,0
district,35,2011,2016,0
district,86,2011,2014,0
district,86,2011,2015,0
district,86,2011,2016,0
district,421,2011,2014,0
district,421,2011,2015,0
district,421,2011,2016,0
district,318,2011,2014,0
district,318,2011,2015,0
district,318,2011,2016,0
district,28,2011,2014,0
district,168,2011,2014,0
district,28,2011,2015,0
district,168,2011,2015,0
district,28,2011,2016,0
district,168,2011,2016,0
district,100,2011,2014,0
district,100,2011,2015,0
district,100,2011,2016,0
district,341,2011,2014,0
district,341,2011,2015,0
district,341,2011,2016,0
district,448,2011,2014,0
district,448,2011,2015,0
district,448,2011,2016,0
district,155,2011,2014,0
district,155,2011,2015,0
district,155,2011,2016,0
district,68,2011,2014,0
district,68,2011,2015,0
district,68,2011,2016,0
district,574,2011,2014,0
district,574,2011,2015,0
district,574,2011,2016,0
district,564,2011,2014,0
district,564,2011,2015,0
district,564,2011,2016,0
district,360,2011,2014,0
district,360,2011,2015,0
district,360,2011,2016,0
district,512,2011,2014,0
district,512,2011,2015,0
district,512,2011,2016,0
district,80,2011,2014,0
district,80,2011,2015,0
district,80,2011,2016,0
district,449,2011,2014,0
district,449,2011,2015,0
district,449,2011,2016,0
district,38,2011,2014,0
district,38,2011,2015,0
district,38,2011,2016,0
district,338,2011,2014,0
district,338,2011,2015,0
district,338,2011,2016,0
district,536,2011,2014,0
district,536,2011,2015,0
district,536,2011,2016,0
district,596,2011,2014,0
district,596,2011,2015,0
district,596,2011,2016,0
district,278,2011,2014,0
district,278,2011,2015,0
district,278,2011,2016,0
district,277,2011,2014,0
district,277,2011,2015,0
district,277,2011,2016,0
district,439,2011,2014,0
district,439,2011,2015,0
district,439,2011,2016,0
district,451,2011,2014,0
district,451,2011,2015,0
district,451,2011,2016,0
district,380,2011,2014,0
district,380,2011,2015,0
district,380,2011,2016,0
district,299,2011,2014,0
district,299,2011,2015,0
district,299,2011,2016,0
district,110,2011,2014,0
district,110,2011,2015,0
district,110,2011,2016,0
district,114,2011,2014,0
district,114,2011,2015,0
district,114,2011,2016,0
district,382,2011,2014,0
district,382,2011,2015,0
district,382,2011,2016,0
district,37,2011,2014,0
district,37,2011,2015,0
district,37,2011,2016,0
district,165,2011,2014,0
district,165,2011,2015,0
district,165,2011,2016,0
district,499,2011,2014,0
district,499,2011,2015,0
district,499,2011,2016,0
district,514,2011,2014,0
district,514,2011,2015,0
district,514,2011,2016,0
district,116,2011,2014,0
district,116,2011,2015,0
district,116,2011,2016,0
district,328,2011,2014,0
district,328,2011,2015,0
district,328,2011,2016,0
district,21,2011,2014,0
district,21,2011,2015,0
district,21,2011,2016,0
district,477,2011,2014,0
district,477,2011,2015,0
district,477,2011,2016,0
district,363,2011,2014,0
district,363,2011,2015,0
district,363,2011,2016,0
district,238,2011,2014,0
district,238,2011,2015,0
district,238,2011,2016,0
district,405,2011,2014,0
district,405,2011,2015,0
district,405,2011,2016,0
district,402,2011,2014,0
district,402,2011,2015,0
district,402,2011,2016,0
district,194,2011,2014,0
district,194,2011,2015,0
district,194,2011,2016,0
district,239,2011,2014,0
district,239,2011,2015,0
district,239,2011,2016,0
district,464,2011,2014,0
district,464,2011,2015,0
district,464,2011,2016,0
district,83,2011,2014,0
district,83,2011,2015,0
district,83,2011,2016,0
district,129,2011,2014,0
district,129,2011,2015,0
district,129,2011,2016,0
district,166,2011,2014,0
district,166,2011,2015,0
district,166,2011,2016,0
district,371,2011,2014,0
district,371,2011,2015,0
district,371,2011,2016,0
district,103,2011,2014,0
district,103,2011,2015,0
district,103,2011,2016,0
district,77,2011,2014,0
district,77,2011,2015,0
district,77,2011,2016,0
district,113,2011,2014,0
district,113,2011,2015,0
district,113,2011,2016,0
district,312,2011,2014,0
district,312,2011,2015,0
district,312,2011,2016,0
district,479,2011,2014,0
district,479,2011,2015,0
district,479,2011,2016,0
district,137,2011,2014,0
district,137,2011,2015,0
district,137,2011,2016,0
district,407,2011,2014,0
district,407,2011,2015,0
district,407,2011,2016,0
district,468,2011,2014,0
district,468,2011,2015,0
district,468,2011,2016,0
district,233,2011,2014,0
district,233,2011,2015,0
district,233,2011,2016,0
district,73,2011,2014,0
district,73,2011,2015,0
district,73,2011,2016,0
district,395,2011,2014,0
district,395,2011,2015,0
district,395,2011,2016,0
district,321,2011,2014,0
district,321,2011,2015,0
district,321,2011,2016,0
district,322,2011,2014,0
district,322,2011,2015,0
district,322,2011,2016,0
district,604,2011,2014,0
district,604,2011,2015,0
district,604,2011,2016,0
district,390,2011,2014,0
district,390,2011,2015,0
district,390,2011,2016,0
district,24,2011,2014,0
district,24,2011,2015,0
district,24,2011,2016,0
district,160,2011,2014,0
district,160,2011,2015,0
district,160,2011,2016,0
district,629,2011,2014,0
district,629,2011,2015,0
district,629,2011,2016,0
district,589,2011,2014,0
district,589,2011,2015,0
district,589,2011,2016,0
district,163,2011,2014,0
district,163,2011,2015,0
district,163,2011,2016,0
district,164,2011,2014,0
district,164,2011,2015,0
district,164,2011,2016,0
district,202,2011,2014,0
district,202,2011,2015,0
district,202,2011,2016,0
district,36,2011,2014,0
district,36,2011,2015,0
district,36,2011,2016,0
district,637,2011,2014,0
district,637,2011,2015,0
district,637,2011,2016,0
district,107,2011,2014,0
district,107,2011,2015,0
district,107,2011,2016,0
district,314,2011,2014,0
district,314,2011,2015,0
district,314,2011,2016,0
district,4,2011,2014,0
district,4,2011,2015,0
district,4,2011,2016,0
district,317,2011,2014,0
district,317,2011,2015,0
district,317,2011,2016,0
district,534,2011,2014,0
district,534,2011,2015,0
district,534,2011,2016,0
district,74,2011,2014,0
district,74,2011,2015,0
district,74,2011,2016,0
district,613,2011,2014,0
district,613,2011,2015,0
district,613,2011,2016,0
district,588,2011,2014,0
district,588,2011,2015,0
district,588,2011,2016,0
district,7,2011,2014,0
district,7,2011,2015,0
district,7,2011,2016,0
district,212,2011,2014,0
district,212,2011,2015,0
district,212,2011,2016,0
district,450,2011,2014,0
district,450,2011,2015,0
district,450,2011,2016,0
district,174,2011,2014,0
district,174,2011,2015,0
district,174,2011,2016,0
district,379,2011,2014,0
district,379,2011,2015,0
district,379,2011,2016,0
district,375,2011,2014,0
district,375,2011,2015,0
district,375,2011,2016,0
district,223,2011,2014,0
district,223,2011,2015,0
district,223,2011,2016,0
district,541,2011,2014,0
district,541,2011,2015,0
district,541,2011,2016,0
district,466,2011,2014,0
district,466,2011,2015,0
district,466,2011,2016,0
district,440,2011,2014,0
district,440,2011,2015,0
district,440,2011,2016,0
district,483,2011,2014,0
district,483,2011,2015,0
district,483,2011,2016,0
district,153,2011,2014,0
district,153,2011,2015,0
district,153,2011,2016,0
district,386,2011,2014,0
district,386,2011,2015,0
district,386,2011,2016,0
district,365,2011,2014,0
district,365,2011,2015,0
district,365,2011,2016,0
district,34,2011,2014,0
district,34,2011,2015,0
district,34,2011,2016,0
district,269,2011,2014,0
district,269,2011,2015,0
district,269,2011,2016,0
district,210,2011,2014,0
district,210,2011,2015,0
district,210,2011,2016,0
district,18,2011,2014,0
district,18,2011,2015,0
district,18,2011,2016,0
district,329,2011,2014,0
district,329,2011,2015,0
district,329,2011,2016,0
district,576,2011,2014,0
district,576,2011,2015,0
district,576,2011,2016,0
district,348,2011,2014,0
district,348,2011,2015,0
district,348,2011,2016,0
district,270,2011,2014,0
district,270,2011,2015,0
district,270,2011,2016,0
district,300,2011,2014,0
district,300,2011,2015,0
district,300,2011,2016,0
district,581,2011,2014,0
district,581,2011,2015,0
district,581,2011,2016,0
district,282,2011,2014,0
district,282,2011,2015,0
district,282,2011,2016,0
district,530,2011,2014,0
district,530,2011,2015,0
district,530,2011,2016,0
district,342,2011,2014,0
district,342,2011,2015,0
district,342,2011,2016,0
district,600,2011,2014,0
district,600,2011,2015,0
district,600,2011,2016,0
district,560,2011,2014,0
district,560,2011,2015,0
district,560,2011,2016,0
district,398,2011,2014,0
district,398,2011,2015,0
district,398,2011,2016,0
district,404,2011,2014,0
district,404,2011,2015,0
district,404,2011,2016,0
district,400,2011,2014,0
district,400,2011,2015,0
district,400,2011,2016,0
district,127,2011,2014,0
district,127,2011,2015,0
district,127,2011,2016,0
district,597,2011,2014,0
district,597,2011,2015,0
district,597,2011,2016,0
district,591,2011,2014,0
district,591,2011,2015,0
district,591,2011,2016,0
district,547,2011,2014,0
district,547,2011,2015,0
district,547,2011,2016,0
district,631,2011,2014,0
district,631,2011,2015,0
district,631,2011,2016,0
district,15,2011,2014,0
district,15,2011,2015,0
district,15,2011,2016,0
district,26,2011,2014,0
district,26,2011,2015,0
district,26,2011,2016,0
district,1,2011,2014,0
district,1,2011,2015,0
district,1,2011,2016,0
district,552,2011,2014,0
district,552,2011,2015,0
district,552,2011,2016,0
district,72,2011,2014,0
district,72,2011,2015,0
district,72,2011,2016,0
district,256,2011,2014,0
district,256,2011,2015,0
district,256,2011,2016,0
